"","d","n","AccuracyAC","AccuracyMST","AccuracyR","SensitivityAC","SensitivityMST","SensitivityR","FPR_AC","FPR_MST","FPR_R"
"19",10,50,0.91,0.75,0.61,0.894736842105263,0.701754385964912,0.333333333333333,0.0697674418604651,0.186046511627907,0.0232558139534884
"20",10,60,0.95,0.75,0.8,1,0.394736842105263,0.5,0.0806451612903226,0.032258064516129,0.0161290322580645
"21",10,70,0.98,0.8,0.77,0.976190476190476,0.619047619047619,0.476190476190476,0.0172413793103448,0.0689655172413793,0.0172413793103448
"22",10,80,0.99,0.77,0.7,1,0.584905660377358,0.452830188679245,0.0212765957446809,0.0212765957446809,0.0212765957446809
"23",10,90,0.96,0.74,0.77,1,0.571428571428571,0.523809523809524,0.0689655172413793,0.137931034482759,0.0517241379310345
"24",10,100,0.96,0.8,0.8,1,0.769230769230769,0.634615384615385,0.0833333333333333,0.166666666666667,0.0208333333333333
"25",50,30,0.82,0.67,0.64,0.707317073170732,0.341463414634146,0.195121951219512,0.101694915254237,0.101694915254237,0.0508474576271186
"26",50,40,0.93,0.66,0.57,0.941176470588235,0.411764705882353,0.196078431372549,0.0816326530612245,0.0816326530612245,0.0408163265306122
"27",50,50,0.95,0.74,0.55,0.928571428571429,0.571428571428571,0.232142857142857,0.0227272727272727,0.0454545454545455,0.0454545454545455
"28",50,60,0.96,0.72,0.65,1,0.555555555555556,0.388888888888889,0.0869565217391304,0.0869565217391304,0.0434782608695652
"29",50,70,0.99,0.71,0.71,0.980769230769231,0.557692307692308,0.538461538461538,0,0.125,0.104166666666667
"30",50,80,0.99,0.74,0.7,1,0.607843137254902,0.450980392156863,0.0204081632653061,0.122448979591837,0.0408163265306122
"31",50,90,1,0.71,0.74,1,0.509090909090909,0.527272727272727,0,0.0444444444444444,0
"32",50,100,0.98,0.8,0.71,1,0.693877551020408,0.469387755102041,0.0392156862745098,0.0980392156862745,0.0588235294117647
"33",100,30,0.78,0.56,0.59,0.58,0.2,0.2,0.02,0.08,0.02
"34",100,40,0.88,0.6,0.63,0.803921568627451,0.254901960784314,0.294117647058824,0.0408163265306122,0.0408163265306122,0.0204081632653061
"35",100,50,0.96,0.63,0.56,0.944444444444444,0.37037037037037,0.259259259259259,0.0217391304347826,0.0652173913043478,0.0869565217391304
"36",100,60,0.92,0.61,0.64,0.9,0.24,0.3,0.06,0.02,0.02
"37",100,70,0.96,0.56,0.62,1,0.185185185185185,0.314814814814815,0.0869565217391304,0,0.0217391304347826
"38",100,80,0.98,0.57,0.66,1,0.215686274509804,0.372549019607843,0.0408163265306122,0.0612244897959184,0.0408163265306122
"39",100,90,0.98,0.7,0.7,1,0.596491228070175,0.508771929824561,0.0465116279069767,0.162790697674419,0.0465116279069767
"40",100,100,0.98,0.72,0.72,1,0.489795918367347,0.469387755102041,0.0392156862745098,0.0588235294117647,0.0392156862745098
"41",300,30,0.71,0.44,0.41,0.587301587301587,0.158730158730159,0.0793650793650794,0.0810810810810811,0.0810810810810811,0.027027027027027
"42",300,40,0.81,0.6,0.51,0.690909090909091,0.290909090909091,0.109090909090909,0.0444444444444444,0.0222222222222222,0
"43",300,50,0.94,0.68,0.63,0.893617021276596,0.382978723404255,0.276595744680851,0.0188679245283019,0.0566037735849057,0.0566037735849057
"44",300,60,0.87,0.6,0.63,0.880952380952381,0.238095238095238,0.19047619047619,0.137931034482759,0.137931034482759,0.0517241379310345
"45",300,70,0.98,0.76,0.68,0.977272727272727,0.477272727272727,0.340909090909091,0.0178571428571429,0.0178571428571429,0.0535714285714286
"46",300,80,0.96,0.62,0.56,0.983333333333333,0.4,0.283333333333333,0.075,0.05,0.025
"47",300,90,0.99,0.73,0.74,1,0.441860465116279,0.418604651162791,0.0175438596491228,0.0526315789473684,0.0175438596491228
"48",300,100,0.97,0.78,0.73,1,0.653846153846154,0.5,0.0625,0.0833333333333333,0.0208333333333333
"49",500,30,0.7,0.6,0.55,0.431818181818182,0.227272727272727,0.0454545454545455,0.0892857142857143,0.107142857142857,0.0535714285714286
"50",500,40,0.8,0.66,0.57,0.625,0.458333333333333,0.104166666666667,0.0384615384615385,0.153846153846154,0
"51",500,50,0.9,0.59,0.58,0.82,0.22,0.2,0.02,0.04,0.04
"52",500,60,0.96,0.65,0.58,0.925925925925926,0.37037037037037,0.222222222222222,0,0.0217391304347826,0
"53",500,70,0.98,0.67,0.65,0.975,0.225,0.15,0.0166666666666667,0.0333333333333333,0.0166666666666667
"54",500,80,0.99,0.75,0.67,1,0.547619047619048,0.261904761904762,0.0172413793103448,0.103448275862069,0.0344827586206897
"55",500,90,0.96,0.69,0.68,1,0.533333333333333,0.288888888888889,0.0727272727272727,0.181818181818182,0
"56",500,100,0.97,0.64,0.62,1,0.319148936170213,0.212765957446809,0.0566037735849057,0.0754716981132075,0.0188679245283019
