"","d","n","CL","CU","CL2","CU2","ACL","ACU","ACL2","ACU2"
"27",50,70,0.98636154931668,0.996709963852896,2.00046644518613,2.00437966163874,2.02962593378623,2.03805606546366,2.00043617660449,2.00445181081737
"28",50,80,0.982463527076424,0.99352838228423,2.00037830611384,2.00539195956604,2.02557641942519,2.0320185333842,2.00033216227814,2.00439205748906
"29",50,90,0.978590840036843,0.989504533252658,2.00015009962391,2.00334900871157,2.02039154163413,2.02800931050138,2.0001017703824,2.00252201481193
"30",50,100,0.976160242805407,0.987773646297742,2.00000096663682,2.00157799408899,2.0173538200334,2.02310716034254,2.00000345440752,2.00176911001782
"31",100,10,1.11311000077395,1.12603169502697,2.01248896302661,2.03637872281276,2.28483295468784,2.32273185831931,2.00981080771462,2.02857058507855
"32",100,20,1.03955489611374,1.05006147685283,2.00357491998221,2.01235746633688,2.12420909109895,2.13945441861463,2.00273543207675,2.0098052608914
"33",100,30,1.01904087641093,1.02713492844187,2.00186076226899,2.00747783184682,2.07781886099222,2.08975400081891,2.00144709901311,2.00561936406784
"34",100,40,1.00748096279082,1.01537399363899,2.00103596301683,2.00545979582557,2.05706182904617,2.06450197812505,2.00083903597299,2.00411635118002
"35",100,50,1.00103914316375,1.00909467721847,2.00081224530046,2.00523910193652,2.0440012526137,2.05117943399828,2.00058732918959,2.0028201190202
"36",100,60,0.997843652932858,1.00526122207817,2.00059779162025,2.00405051112651,2.03575320795256,2.04194534378725,2.00035181679304,2.00283826793866
"37",100,70,0.995629965979257,1.00273909171966,2.0002899220852,2.00276670429455,2.02977869493412,2.03584073661439,2.00026508031973,2.00213915234726
"38",100,80,0.990684621323812,0.999172165054432,2.00016259288931,2.00304685946172,2.02476067869479,2.03004337686937,2.00010219822121,2.00143182734796
"39",100,90,0.987435619792336,0.995397537019768,2.00005049073236,2.00197807483427,2.02113518957066,2.02669678417217,2.00006070874998,2.00128667429934
"40",100,100,0.985171686938776,0.992091784201108,2.00000084071315,2.00068238278372,2.01809681804301,2.02250978114055,2.00000045587076,2.00048397204941
"41",300,10,1.11935418533733,1.12573787381181,2.00381368158625,2.01103368660333,2.26960580241318,2.28874495507458,2.00296230184872,2.0092154524303
"42",300,20,1.04684027163747,1.05153986821008,2.00183883008929,2.00557004536935,2.11744361693419,2.12614252296877,2.00116143664029,2.0041615651898
"43",300,30,1.02589395689584,1.03084500518948,2.00079518836934,2.00314607346017,2.07463689858169,2.08068124118868,2.00067572835645,2.00274237088618
"44",300,40,1.01660249386647,1.02068021328649,2.0004902369952,2.00214229342851,2.05448179352494,2.05940943326432,2.00038235963097,2.00182339228655
"45",300,50,1.01082473320457,1.01466299616964,2.00026813342337,2.00156959837344,2.04255753145146,2.0468121368392,2.00016573301358,2.00092500327096
"46",300,60,1.00594862720187,1.01055236604566,2.00025755290754,2.0012826274211,2.035405030367,2.03838962246132,2.00014630407411,2.00099340475574
"47",300,70,1.00265660630818,1.00769986345189,2.00013684510708,2.00089675574505,2.02962427347127,2.0328939068134,2.00007303949239,2.00066875404213
"48",300,80,1.00196489026325,1.00568984984846,2.00006953249164,2.00077025446709,2.02539713795453,2.02865015432139,2.0000392224284,2.00044800740381
"49",300,90,0.99984215689609,1.0040425391151,2.00002945284877,2.00060918472253,2.0221837429594,2.02493379455467,2.00003147377974,2.00060230263184
"50",300,100,0.997014104449407,1.00213701353188,2.00000137017028,2.00040280455495,2.01946842001718,2.02190941731192,2.00000078634409,2.00038066939831
